Origin	Destination	Trip Duration
21	44	23.23
21	45	24.35
21	46	32.79
21	47	44.18
21	48	36.34
21	49	44.77
21	50	69.28
21	51	42.58
21	52	57.19
21	53	62.81
21	54	70.72
21	55	44.96
21	56	47.9
21	57	43.16
21	58	26.49
21	59	18.95
21	60	38.16
21	61	34.75
21	62	29.32
21	63	43.57
21	64	36.25
22	23	12.61
22	24	13.8
22	25	20.7
22	26	30.87
22	27	26.7
22	28	58.02
22	29	38.91
22	30	29.35
22	31	34.84
22	32	46.42
22	33	62.32
22	34	36.2
22	35	33.27
22	36	31.57
22	37	22.46
22	38	36.45
22	39	21.45
22	40	18.87
22	41	20.12
22	42	22.03
22	43	23.74
22	44	27.12
22	45	27.73
22	46	36.17
22	47	47.56
22	48	39.73
22	49	48.15
22	50	72.67
22	51	45.33
22	52	60.58
22	53	66.19
22	54	71.29
22	55	45.53
22	56	45.01
22	57	40.27
22	58	23.6
22	59	16.06
22	60	35.27
22	61	31.86
22	62	26.43
22	63	42.29
22	64	34.96
23	24	18.44
23	25	19.54
23	26	32.87
23	27	25.87
23	28	56.86
23	29	45.75
23	30	36.19
23	31	41.68
23	32	53.25
23	33	69.16
23	34	43.04
23	35	40.11
23	36	38.41
23	37	29.3
23	38	43.29
23	39	26.78
23	40	24.19
23	41	25.45
23	42	27.69
23	43	29.06
23	44	33.96
23	45	33.05
23	46	41.49
23	47	52.88
23	48	45.05
23	49	53.48
23	50	77.99
23	51	50.65
23	52	65.9
23	53	71.51
23	54	70.12
23	55	44.37
23	56	51.85
23	57	47.1
23	58	30.43
23	59	22.9
23	60	42.1
23	61	38.7
23	62	33.27
23	63	49.13
23	64	41.8
24	25	22.24
24	26	27.21
24	27	23.04
24	28	56.32
24	29	43.11
24	30	33.55
24	31	37.97
24	32	49.55
24	33	65.45
24	34	39.33
24	35	36.4
24	36	34.7
24	37	25.59
24	38	39.59
24	39	22.79
24	40	20.2
24	41	21.46
24	42	23.7
24	43	25.07
24	44	30.25
24	45	29.06
24	46	37.5
24	47	48.89
24	48	41.06
24	49	49.49
24	50	74.0
24	51	46.66
24	52	61.91
24	53	67.52
24	54	69.59
24	55	43.83
24	56	51.98
24	57	47.24
24	58	30.57
24	59	23.03
24	60	42.24
24	61	38.83
24	62	33.4
24	63	49.26
24	64	41.94
25	26	36.67
25	27	25.2
25	28	55.34
25	29	53.85
25	30	44.28
25	31	49.33
25	32	60.9
25	33	76.8
25	34	50.69
25	35	47.76
25	36	46.06
25	37	36.95
25	38	50.94
25	39	34.2
25	40	31.61
25	41	32.87
25	42	35.11
25	43	36.48
25	44	41.61
25	45	40.47
25	46	48.91
25	47	60.3
25	48	52.47
25	49	60.9
25	50	85.41
25	51	58.07
25	52	66.51
25	53	78.05
25	54	68.61
25	55	42.85
25	56	59.94
25	57	55.2
25	58	38.53
25	59	30.99
25	60	50.2
25	61	46.79
25	62	41.36
25	63	57.22
25	64	49.89
26	27	29.37
26	28	70.75
26	29	59.24
26	30	49.68
26	31	52.84
26	32	64.42
26	33	80.32
26	34	54.2
26	35	52.53
26	36	49.58
26	37	40.7
26	38	54.46
26	39	37.5
26	40	34.91
26	41	36.17
26	42	38.41
26	43	39.78
26	44	45.12
26	45	43.77
26	46	52.21
26	47	63.6
26	48	55.77
26	49	64.2
26	50	88.71
26	51	61.37
26	52	76.62
26	53	82.23
26	54	84.02
26	55	58.26
26	56	69.06
26	57	64.31
26	58	47.65
26	59	40.11
26	60	59.32
26	61	55.91
26	62	50.48
26	63	66.34
26	64	59.01
27	28	59.21
27	29	55.07
27	30	45.51
27	31	48.67
27	32	60.25
27	33	76.15
27	34	50.03
27	35	48.37
27	36	45.41
27	37	36.53
27	38	50.29
27	39	33.33
27	40	30.74
27	41	32.0
27	42	34.24
27	43	35.61
27	44	40.96
27	45	39.6
27	46	48.05
27	47	59.43
27	48	51.6
27	49	60.03
27	50	84.54
27	51	57.2
27	52	70.38
27	53	78.06
27	54	72.48
27	55	46.72
27	56	64.89
27	57	60.15
27	58	43.48
27	59	35.94
27	60	55.15
27	61	51.74
27	62	46.31
27	63	62.17
27	64	54.84
28	29	88.54
28	30	78.98
28	31	83.4
28	32	94.98
28	33	110.88
28	34	84.76
28	35	81.84
28	36	80.14
28	37	71.03
28	38	85.02
28	39	68.27
28	40	65.69
28	41	66.94
28	42	69.19
28	43	70.56
28	44	75.69
28	45	74.55
28	46	82.99
28	47	94.38
28	48	86.55
28	49	94.97
28	50	105.45
28	51	91.56
28	52	71.26
28	53	82.8
28	54	67.08
28	55	39.86
28	56	97.16
28	57	92.42
28	58	75.75
28	59	68.21
28	60	87.42
28	61	84.01
28	62	78.58
28	63	94.44
28	64	87.12
29	30	17.53
29	31	24.3
29	32	29.57
29	33	45.56
29	34	31.27
29	35	35.95
29	36	31.54
29	37	33.23
29	38	23.68
29	39	36.85
29	40	33.76
29	41	42.1
29	42	31.63
29	43	33.97
29	44	31.09
29	45	35.24
29	46	40.12
29	47	50.7
29	48	46.27
29	49	51.3
29	50	80.17
29	51	56.81
29	52	68.08
29	53	73.7
29	54	86.49
29	55	76.06
29	56	72.28
29	57	67.53
29	58	50.86
29	59	43.32
29	60	51.2
29	61	59.12
29	62	47.12
29	63	49.45
29	64	42.12
30	31	16.27
30	32	28.8
30	33	44.71
30	34	24.03
30	35	26.56
30	36	22.15
30	37	23.83
30	38	21.01
30	39	27.46
30	40	24.37
30	41	32.71
30	42	22.23
30	43	24.58
30	44	21.7
30	45	25.84
30	46	31.67
30	47	42.25
30	48	36.88
30	49	42.84
30	50	70.78
30	51	47.41
30	52	58.69
30	53	64.3
30	54	77.1
30	55	66.49
30	56	62.71
30	57	57.97
30	58	41.3
30	59	33.76
30	60	41.63
30	61	49.56
30	62	37.55
30	63	39.89
30	64	32.56
31	32	27.54
31	33	43.45
31	34	25.05
31	35	28.45
31	36	24.04
31	37	25.73
31	38	18.16
31	39	29.35
31	40	26.26
31	41	34.6
31	42	24.13
31	43	26.47
31	44	23.59
31	45	27.74
31	46	33.56
31	47	44.14
31	48	38.77
31	49	44.73
31	50	72.67
31	51	49.31
31	52	60.58
31	53	66.2
31	54	78.99
31	55	70.92
31	56	69.36
31	57	64.62
31	58	47.95
31	59	40.41
31	60	49.94
31	61	56.21
31	62	45.86
31	63	48.2
31	64	40.87
32	33	31.94
32	34	32.36
32	35	40.02
32	36	35.57
32	37	37.3
32	38	22.75
32	39	40.92
32	40	37.84
32	41	46.18
32	42	35.7
32	43	38.04
32	44	35.17
32	45	39.31
32	46	43.37
32	47	53.95
32	48	50.35
32	49	54.54
32	50	84.16
32	51	60.88
32	52	72.16
32	53	77.77
32	54	90.56
32	55	82.49
32	56	81.22
32	57	76.47
32	58	59.8
32	59	52.27
32	60	62.47
32	61	68.07
32	62	58.39
32	63	60.73
32	64	53.4
33	34	36.73
33	35	55.93
33	36	48.61
33	37	53.2
33	38	37.45
33	39	56.83
33	40	53.74
33	41	62.08
33	42	51.6
33	43	53.95
33	44	48.85
33	45	55.07
33	46	53.09
33	47	63.67
33	48	61.04
33	49	76.63
33	50	93.88
33	51	76.78
33	52	88.06
33	53	93.67
33	54	106.47
33	55	98.39
33	56	97.12
33	57	92.38
33	58	75.71
33	59	68.17
33	60	78.38
33	61	83.97
33	62	74.3
33	63	76.63
33	64	69.3
34	35	29.81
34	36	21.36
34	37	27.09
34	38	23.15
34	39	30.71
34	40	27.62
34	41	35.96
34	42	25.48
34	43	27.83
34	44	21.59
34	45	27.82
34	46	25.84
34	47	36.42
34	48	33.79
34	49	37.01
34	50	66.63
34	51	50.67
34	52	61.94
34	53	67.56
34	54	80.35
34	55	72.27
34	56	71.0
34	57	66.26
34	58	49.59
34	59	42.05
34	60	57.7
34	61	57.85
34	62	50.41
34	63	55.95
34	64	48.63
35	36	27.73
35	37	25.2
35	38	30.06
35	39	30.11
35	40	27.4
35	41	35.74
35	42	25.26
35	43	27.6
35	44	24.73
35	45	28.87
35	46	35.24
35	47	46.62
35	48	39.9
35	49	47.22
35	50	73.8
35	51	50.44
35	52	61.71
35	53	67.33
35	54	80.12
35	55	69.35
35	56	67.86
35	57	63.12
35	58	46.45
35	59	38.91
35	60	55.64
35	61	54.71
35	62	46.8
35	63	57.99
35	64	50.67
36	37	24.54
36	38	25.61
36	39	26.08
36	40	22.94
36	41	31.33
36	42	20.8
36	43	23.14
36	44	17.48
36	45	23.71
36	46	27.15
36	47	38.54
36	48	31.82
36	49	39.14
36	50	67.41
36	51	45.98
36	52	57.26
36	53	62.87
36	54	75.67
36	55	67.65
36	56	66.37
36	57	61.63
36	58	44.96
36	59	37.42
36	60	55.65
36	61	53.22
36	62	46.81
36	63	54.07
36	64	46.75
37	38	27.34
37	39	18.09
37	40	17.13
37	41	24.25
37	42	18.15
37	43	22.26
37	44	21.54
37	45	24.35
37	46	32.05
37	47	43.43
37	48	36.35
37	49	44.03
37	50	69.29
37	51	45.92
37	52	57.2
37	53	62.81
37	54	75.61
37	55	42.69
37	56	57.26
37	57	52.52
37	58	35.85
37	59	28.31
37	60	46.54
37	61	44.11
37	62	37.7
37	63	50.02
37	64	42.69
38	39	30.96
38	40	27.88
38	41	36.22
38	42	25.74
38	43	28.08
38	44	25.21
38	45	29.35
38	46	33.41
38	47	43.99
38	48	40.38
38	49	44.58
38	50	74.19
38	51	50.92
38	52	62.19
38	53	67.81
38	54	80.6
38	55	72.53
38	56	71.26
38	57	66.51
38	58	49.84
38	59	42.3
38	60	54.68
38	61	58.1
38	62	50.6
38	63	52.93
38	64	45.61
39	40	10.38
39	41	17.48
39	42	14.54
39	43	15.55
39	44	21.63
39	45	19.02
39	46	27.46
39	47	38.85
39	48	31.01
39	49	39.44
39	50	63.95
39	51	40.59
39	52	51.86
39	53	57.48
39	54	70.27
39	55	55.78
39	56	56.47
39	57	51.73
39	58	35.06
39	59	27.52
39	60	45.76
39	61	43.32
39	62	36.92
39	63	49.23
39	64	41.91
40	41	14.87
40	42	11.56
40	43	10.44
40	44	18.48
40	45	14.09
40	46	22.53
40	47	33.92
40	48	26.09
40	49	34.51
40	50	59.03
40	51	35.66
40	52	46.94
40	53	52.55
40	54	65.35
40	55	53.2
40	56	55.82
40	57	51.08
40	58	34.41
40	59	26.87
40	60	45.1
40	61	42.67
40	62	36.27
